ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-11 09:01:00,45.3,45.3,45.3,45.3,2,90600.0,45.510000000000005,,,-0.10130507553454748,-0.09653199666187152,-0.004773078872675959
2025-03-11 09:16:00,44.9,44.9,44.9,44.9,1,44900.0,45.475,,,-0.12827947413632046,-0.10288936219409801,-0.025390111942222446
2025-03-11 09:18:00,44.85,44.85,44.85,44.85,1,44850.0,45.4275,,,-0.15151788065651317,-0.11262470730538866,-0.03889317335112451
2025-03-11 09:19:00,44.85,44.85,44.85,44.85,2,89700.0,45.3775,,,-0.16792230058457136,-0.12369299516231601,-0.04422930542225535
2025-03-11 09:20:00,44.65,44.65,44.65,44.65,1,44650.0,45.32000000000001,,,-0.19361461291590132,-0.13768618795265294,-0.055928424963248374
2025-03-11 09:21:00,44.5,44.5,44.5,44.5,1,44500.0,45.255,,,-0.22263744949803055,-0.15468505971372493,-0.06795238978430562
2025-03-11 09:22:00,44.5,44.5,44.5,44.5,1,44500.0,45.1875,,,-0.24276871834641867,-0.1723089405356564,-0.07045977781076226
2025-03-11 09:26:00,44.5,44.5,44.5,44.5,2,89000.0,45.120000000000005,,,-0.2557205718485491,-0.18899668228004965,-0.06672388956849948
2025-03-11 09:28:00,44.5,44.5,44.45,44.45,2,88950.0,45.05,,,-0.26668851823745143,-0.20453908450984362,-0.06214943372760781
2025-03-11 09:30:00,44.45,44.45,44.45,44.45,2,88900.0,45.005,,,-0.27220544159101223,-0.21807516726047504,-0.05413027433053719
2025-03-11 09:44:00,44.3,44.3,44.05,44.05,5,220550.0,44.945,,,-0.30384645061387516,-0.23523227464458776,-0.0686141759692874
2025-03-11 09:46:00,44.0,44.25,44.0,44.25,5,220250.0,44.897499999999994,,,-0.30984617149953664,-0.25015703785688675,-0.05968913364264988
2025-03-11 09:57:00,43.85,43.85,43.75,43.75,3,131400.0,44.82,,,-0.3493069800104891,-0.26998913519792733,-0.07931784481256177
