ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,124.89173371870521,127.68458463519288,124.31153162794263,126.38650512695312,4916800
2025-03-11 04:00:00+00:00,126.55368037885165,126.90770478878487,124.99007131785618,125.98330688476562,4404800
2025-03-12 04:00:00+00:00,126.21934053427383,126.41601744674422,124.70489679672997,125.83580780029297,4701800
2025-03-13 04:00:00+00:00,126.1799889629073,127.48791211430859,125.8751375151156,127.05521392822266,3434100
2025-03-14 04:00:00+00:00,126.79954262643184,128.52049186944967,125.87514463216155,127.83211517333984,5380700
2025-03-17 04:00:00+00:00,127.84193813078278,130.50695744346137,127.84193813078278,129.85791015625,4934600
2025-03-18 04:00:00+00:00,129.87757131852445,131.0576476461098,129.52354691970035,130.48727416992188,4128400
2025-03-19 04:00:00+00:00,131.78535774523277,133.486649634509,131.29365800958914,133.07362365722656,7080700
2025-03-20 04:00:00+00:00,131.8935208874098,133.0736121553444,131.66734323009865,132.2377166748047,4311300
2025-03-21 04:00:00+00:00,131.60836209230098,132.26723798270893,129.51371627267798,130.17259216308594,9545900
2025-03-24 04:00:00+00:00,130.45777141124222,132.65074792895982,129.7497226243181,132.45407104492188,5525300
2025-03-25 04:00:00+00:00,132.54259307707667,133.68334018159806,131.75587041859686,133.40798950195312,3990600
2025-03-26 04:00:00+00:00,133.7128264016014,133.90950329342365,131.834529822906,132.1000518798828,4464500
2025-03-27 04:00:00+00:00,132.6704384934108,132.71961147260168,130.94948926013555,131.21499633789062,3914000
2025-03-28 04:00:00+00:00,130.7626202293023,131.42149603072994,129.45469721853377,129.5333709716797,3935200
2025-03-31 04:00:00+00:00,128.88435515010832,130.92982821359342,128.41232752176185,130.26112365722656,5521100
2025-04-01 04:00:00+00:00,130.08407791416786,130.83145609343845,129.17935222173986,130.64462280273438,4799300
2025-04-02 04:00:00+00:00,129.17935774391148,131.46083676028385,129.03185382244888,130.93963623046875,3352900
2025-04-03 04:00:00+00:00,128.82533706599358,131.49035636649012,127.78293597610832,128.068115234375,4605200
2025-04-04 04:00:00+00:00,123.9083438490579,124.28203297872625,115.40193620331601,115.50027465820312,8526700
2025-04-07 04:00:00+00:00,112.02886909772116,117.9292660902622,110.40625842422381,115.37242889404297,8774800
2025-04-08 04:00:00+00:00,120.96798380668835,121.91204649824341,116.72952653709248,118.46031188964844,8108600
2025-04-09 04:00:00+00:00,117.04419655151635,126.78968097592205,116.20830853874925,126.29798126220703,6747400
2025-04-10 04:00:00+00:00,124.80323127410975,127.14371182651604,121.71535001265053,124.9605712890625,6457800
2025-04-11 04:00:00+00:00,124.06567616167958,127.17322197360737,122.92492921722742,126.13080596923828,3654100
2025-04-14 04:00:00+00:00,127.10438273388962,127.79275936848869,126.1504840382719,126.99620819091797,4099900
2025-04-15 04:00:00+00:00,126.36684126577255,127.79276760191554,126.11116278658726,126.5045166015625,6315600
2025-04-16 04:00:00+00:00,127.75344031565143,128.03861958535776,126.30784176342996,127.1043930053711,5382800
2025-04-17 04:00:00+00:00,127.21255753832773,128.33363234711763,125.58011079757667,126.75035858154297,5228300
2025-04-21 04:00:00+00:00,126.36683234526869,126.59301002263878,122.6594196313652,124.0263442993164,6397400
2025-04-22 04:00:00+00:00,112.62873707209192,115.2445831933151,110.76027662875285,111.86168670654297,17094400
2025-04-23 04:00:00+00:00,115.43143453030596,120.58445348733272,115.33309607751389,118.28329467773438,10456300
2025-04-24 04:00:00+00:00,118.0374388071374,120.03373855825552,117.52607437691086,119.94523620605469,4512800
2025-04-25 04:00:00+00:00,120.69262606000372,123.41663942173065,120.37793851457594,123.14128875732422,6205900
2025-04-28 04:00:00+00:00,123.83950261845524,124.21319173737544,121.62685368479148,122.72826385498047,5460100
2025-04-29 04:00:00+00:00,122.72825285881567,123.94766606112131,122.32505548793475,123.64281463623047,4313600
2025-04-30 04:00:00+00:00,123.70181874500724,124.46886912195019,121.54817153071171,124.03617095947266,5674100
