ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-07 09:51:00,37.1,37.1,37.05,37.05,2,74150.0,,,,0.0,0.0,0.0
2025-03-07 11:19:00,37.3,37.3,37.3,37.3,1,37300.0,,,,0.005608974358970897,0.0031160968660949428,0.0024928774928759546
2025-03-07 12:37:00,37.3,37.3,37.3,37.3,1,37300.0,,,,0.007146946640908425,0.004768084478723418,0.0023788621621850066
2025-03-07 13:24:00,37.1,37.1,37.1,37.1,1,37100.0,,,,0.00045036924356622876,0.0033054438164072976,-0.002855074572841069
2025-03-07 13:30:00,37.05,37.05,37.05,37.05,2,74100.0,,,,-0.005187547226327638,0.000778970993128224,-0.005966518219455862
2025-03-10 09:01:00,36.9,36.9,36.9,36.9,1,36900.0,,,,-0.014893278802816212,-0.0034690800618051056,-0.011424198741011107
2025-03-10 09:14:00,36.8,36.8,36.8,36.8,1,36800.0,,,,-0.025391295984782403,-0.009017008080407334,-0.01637428790437507
2025-03-10 09:15:00,36.55,36.55,36.05,36.05,13,470950.0,,,,-0.06769213691498521,-0.02311774492539869,-0.04457439198958652
2025-03-10 09:23:00,36.05,36.05,36.0,36.0,4,144150.0,,,,-0.09843539110538302,-0.04051649484574456,-0.05791889625963846
2025-03-10 09:28:00,36.1,36.1,36.0,36.0,5,180100.0,,,,-0.11881170758255877,-0.05805916752965287,-0.060752540052905896
2025-03-10 09:37:00,36.05,36.05,36.0,36.0,4,144100.0,,,,-0.13186972060670854,-0.07420849479413066,-0.057661225812577876
2025-03-10 09:57:00,36.0,36.0,36.0,36.0,3,108000.0,,,,-0.13964913997921968,-0.08826240090519787,-0.05138673907402182
2025-03-10 10:02:00,36.0,36.0,36.0,36.0,3,108000.0,,,,-0.14356606495232427,-0.09996657763502252,-0.04359948731730175
2025-03-10 10:29:00,36.0,36.0,36.0,36.0,1,36000.0,,,,-0.14463331195124596,-0.10931089178053031,-0.03532242017071564
2025-03-10 11:05:00,36.2,36.2,36.1,36.1,20,723000.0,,,,-0.13765863073118112,-0.11518719355893825,-0.02247143717224287
