ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,172.03878442187445,175.1825227168861,171.1336315907203,171.55213928222656,11047000
2025-03-11 04:00:00+00:00,171.13364078926176,171.28937080661512,167.7173970717516,168.4960174560547,11032300
2025-03-12 04:00:00+00:00,165.16735687763173,167.24046991803968,163.28891377342117,163.8728790283203,10158800
2025-03-13 04:00:00+00:00,163.22079303370472,164.76832116676303,162.812012858061,164.08702087402344,6609000
2025-03-14 04:00:00+00:00,163.30836631460693,164.0870014934431,162.16961849169172,163.4835662841797,6790500
2025-03-17 04:00:00+00:00,163.87289601307083,166.52024702644746,163.63931582739394,165.22576904296875,9931700
2025-03-18 04:00:00+00:00,165.5274801127288,165.7123927853812,163.103982041346,163.2305145263672,6099900
2025-03-19 04:00:00+00:00,163.38625077333813,164.24275105717143,162.6465554335392,164.06756591796875,7569200
2025-03-20 04:00:00+00:00,164.37900406846467,164.69046410422635,161.59539311658017,163.07479858398438,8789200
2025-03-21 04:00:00+00:00,162.67574011583915,163.64903041564702,159.7363992520746,162.23776245117188,16027300
2025-03-24 04:00:00+00:00,161.984690113626,162.41294020229407,160.94327726275654,161.22552490234375,6102100
2025-03-25 04:00:00+00:00,160.88490951262673,160.95303211943474,157.86770326795087,158.50035095214844,8366700
2025-03-26 04:00:00+00:00,158.9869831440014,162.3643018153946,158.6365980271896,162.13070678710938,7756000
2025-03-27 04:00:00+00:00,163.38623651355272,164.51525681620825,162.16962364894061,164.2038116455078,6211700
2025-03-28 04:00:00+00:00,164.85592484657508,165.17711244541368,163.1429243194358,163.54197692871094,5479100
2025-03-31 04:00:00+00:00,163.61010773887554,166.56890375916458,163.61010773887554,165.86813354492188,11520100
2025-04-01 04:00:00+00:00,166.01413693923408,166.48131213428726,164.54445905188103,166.00439453125,7021100
2025-04-02 04:00:00+00:00,165.52748461309986,166.31584736163066,163.8144842200146,164.9727020263672,6274500
2025-04-03 04:00:00+00:00,169.57635771491672,170.1311402912935,166.16984180745868,167.78550720214844,9393300
2025-04-04 04:00:00+00:00,167.1820738632886,168.96319683982443,159.10376165073563,159.37628173828125,13454200
