ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,249.52114936332148,258.1929776688719,246.7263308511425,247.6876678466797,1653500
2025-03-11 04:00:00+00:00,248.02461256841065,248.53006680521153,237.18234395964228,237.31117248535156,1044200
2025-03-12 04:00:00+00:00,236.96432350727565,238.55994331379748,229.33308914065262,237.2418212890625,1425700
2025-03-13 04:00:00+00:00,233.82260603560292,235.3290332436963,231.83056531040575,234.61546325683594,940600
2025-03-14 04:00:00+00:00,234.3974399958026,236.21109588498092,232.91083829541003,233.81271362304688,1017800
2025-03-17 04:00:00+00:00,235.70566505602423,239.47172585421467,235.27949802319856,238.11395263671875,752400
2025-03-18 04:00:00+00:00,236.31021247450826,236.31021247450826,231.30531697904266,233.5253143310547,1012900
2025-03-19 04:00:00+00:00,235.12092008463097,240.1753565711866,234.56590943788729,240.0960693359375,1550000
2025-03-20 04:00:00+00:00,242.25661422127132,243.74321591372146,238.42118669394821,241.27545166015625,1342200
2025-03-21 04:00:00+00:00,240.50243457866313,242.47466505437967,237.23190763238512,241.820556640625,1391100
2025-03-24 04:00:00+00:00,243.31705011708567,245.65597072982382,241.18626039623075,243.16839599609375,1169400
2025-03-25 04:00:00+00:00,242.84132378885224,243.6738170496259,239.5311612120902,241.1466064453125,1411600
2025-03-26 04:00:00+00:00,240.93849444883392,244.06035198261094,238.16350157297958,239.57081604003906,731300
2025-03-27 04:00:00+00:00,239.73928957960737,242.51428238401564,238.2626082679804,241.63223266601562,621700
2025-03-28 04:00:00+00:00,241.75115399199308,242.187226230599,237.70761079626953,238.18331909179688,664300
2025-03-31 04:00:00+00:00,239.90780950072983,242.61342058481196,236.31022824917852,241.38449096679688,737100
2025-04-01 04:00:00+00:00,241.384469849745,242.35571205502592,238.17341987075648,241.68179321289062,733000
2025-04-02 04:00:00+00:00,239.83840303713808,245.95328943210464,238.84733525599287,245.35865783691406,908000
2025-04-03 04:00:00+00:00,240.0960676414196,243.55489953259263,229.20424274865306,229.72950744628906,1281300
2025-04-04 04:00:00+00:00,222.99027002542573,224.3282176945765,208.0152339534851,208.19363403320312,2944300
