ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,389.33936956128906,391.80050846371955,382.61088158953936,390.32183837890625,22034100,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,382.90859827837613,383.4643412864511,374.3540930979484,377.2717590332031,32840100,,,,-0.29279024173052903,-0.16266124540584945,-0.13012899632467959
2025-03-11 00:00:00-04:00,376.1205744700273,383.0673924681545,374.0464567305875,377.5595703125,30380200,,,,-0.36414787242432567,-0.2452377318888315,-0.11891014053549417
2025-03-12 00:00:00-04:00,380.0405779726452,382.2933209136247,376.0709676751301,380.3581237792969,24253600,,,,-0.28663767489587144,-0.2592621028261757,-0.027375572069695764
2025-03-13 00:00:00-04:00,380.2489652043101,382.3925583494832,374.58235511618193,375.8923034667969,20473000,,,,-0.41619061634816035,-0.30594478771491457,-0.11024582863324578
2025-03-14 00:00:00-04:00,376.8946473094157,387.2652662935844,376.6267095180303,385.6079406738281,19952800,,,,-0.07080016800767908,-0.2422075219863075,0.1714073539786284
2025-03-17 00:00:00-04:00,383.7620820869245,389.7264008785539,382.6406623483486,385.74688720703125,22474300,,,,0.15821611161305782,-0.14087098265280007,0.2990870942658579
2025-03-18 00:00:00-04:00,384.1292482671326,384.42695690697013,378.20460404859546,380.606201171875,19486900,,,,0.06474460916336966,-0.09145768933731337,0.156202298500683
2025-03-19 00:00:00-04:00,382.60095534567967,386.719419886704,381.0825806498319,384.8735656738281,19185500,,,,0.21075172078622018,-0.021645816330162337,0.2323975371163825
2025-03-20 00:00:00-04:00,382.80938253905003,388.81343664918575,380.3680805381929,383.9010314941406,18470500,,,,0.2611644524524195,0.041720100990708525,0.21944435146171096
2025-03-21 00:00:00-04:00,380.3085198055768,388.76377892625936,379.8916973941909,388.2874450683594,39675900,,,,0.5276195653995046,0.14803212740487434,0.37958743799463024
2025-03-24 00:00:00-04:00,392.3959786933822,392.3959786933822,386.84845184017416,390.0935974121094,21004500,,,,0.8150066268885325,0.2912702780634989,0.5237363488250336
2025-03-25 00:00:00-04:00,390.9272064692555,393.34864070852024,389.65693247956807,392.15777587890625,15775000,,,,1.1339309221521603,0.46960654694574183,0.6643243752064185
2025-03-26 00:00:00-04:00,391.99898548636673,392.3066278369287,385.6178447127186,387.0072021484375,16108400,,,,1.059415078152199,0.5929949317395655,0.4664201464126334
2025-03-27 00:00:00-04:00,387.1659858818112,389.2599405856522,384.4567161979595,387.612548828125,13766800,,,,1.0256240510839802,0.6826761323397381,0.34294791874424213
