ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,240.30266509821263,241.7627323707991,234.6094060276731,237.4119415283203,20498700,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,231.46391270541537,232.73778024903012,224.10479922419384,227.5540771484375,18887200,,,,-0.22117003416400394,-0.12287224120222441,-0.09829779296177953
2025-03-11 00:00:00-04:00,227.09353912743353,228.63200091691712,222.13521009374537,224.53598022460938,18143000,,,,-0.37540552788027526,-0.22636948984076982,-0.14903603803950544
2025-03-12 00:00:00-04:00,229.29831783730396,229.6118953635389,222.69373697492486,223.3208770751953,16054000,,,,-0.4802254540157378,-0.31236405765071834,-0.16786139636501946
2025-03-13 00:00:00-04:00,224.69276414889097,224.88874263351286,219.72462657901622,220.66534423828125,16467900,,,,-0.6327428424982884,-0.40766950292902926,-0.22507333956925912
2025-03-14 00:00:00-04:00,223.53644664227286,228.45558543419895,223.00730328361723,227.7696533203125,11962100,,,,-0.4087485988547144,-0.40796199792146276,-0.0007866009332516133
2025-03-17 00:00:00-04:00,226.53497583495994,230.93476525496936,225.8294562932561,229.22972106933594,9586000,,,,-0.1919148265135675,-0.3532862224521901,0.1613713959386226
2025-03-18 00:00:00-04:00,229.6119065102203,231.4247262080977,228.82797760877594,230.24884033203125,10344900,,,,0.005033726902723856,-0.2671752004140632,0.27220892731678703
2025-03-19 00:00:00-04:00,231.003365794291,237.46095169041473,230.1704385597004,234.30564880371094,10120600,,,,0.34261334168817825,-0.12631102201188835,0.4689243637000666
2025-03-20 00:00:00-04:00,231.80687167408394,236.90238671351167,231.45410444315897,234.2076416015625,8328500,,,,0.5720503412924813,0.030162463189794788,0.5418878781026866
2025-03-21 00:00:00-04:00,233.03175603733484,237.43154526163565,231.7480798478655,236.77500915527344,19326900,,,,0.8666005956143294,0.21317034721026315,0.6534302484040663
2025-03-24 00:00:00-04:00,240.54764300232483,243.69315205594,239.49914995258575,243.0758056640625,9422700,,,,1.416868959205516,0.4716743278962261,0.9451946313092898
2025-03-25 00:00:00-04:00,244.30068326517667,246.76026012430498,242.64463755823172,246.08412170410156,9287700,,,,1.9761018011091096,0.7900634496130547,1.1860383514960549
2025-03-26 00:00:00-04:00,247.52459140779072,249.55299175550442,244.7612456285821,245.9861297607422,12779300,,,,2.363350358064281,1.1191962447151884,1.2441541133490925
2025-03-27 00:00:00-04:00,244.51625533302644,245.60395298055695,242.21346731053447,243.13458251953125,8022500,,,,2.456024416753621,1.396312023806096,1.0597123929475252
2025-03-28 00:00:00-04:00,241.97832221404934,244.49667631604888,236.2654605973164,237.9705047607422,11978400,,,,2.1822757552082237,1.558057500515505,0.6242182546927186
2025-03-31 00:00:00-04:00,234.59962314020567,240.92002258119433,232.5908100746605,240.37127685546875,13603000,,,,2.0949930796375043,1.6679184653411616,0.42707461429634264
2025-04-01 00:00:00-04:00,237.74512439898524,240.75344724084187,236.04009512254535,238.7642364501953,8054700,,,,1.901106393833203,1.7154116115009617,0.18569478233224124
2025-04-02 00:00:00-04:00,236.74561869740594,242.28208917285224,236.6084322682575,240.88082885742188,7758800,,,,1.86475596295179,1.7457172318081602,0.11903873114362984
2025-04-03 00:00:00-04:00,229.56290134081743,230.41541595904243,222.73294584761328,224.0950164794922,17188500,234.3193618774414,,,0.7200641735058184,1.5381940406497803,-0.8181298671439619
2025-04-04 00:00:00-04:00,212.2834044818624,214.63980786720018,205.9930827481223,207.32411193847656,27170700,232.81497039794922,,,-1.2825371281043374,0.9687960372768055,-2.251333165381143
2025-04-07 00:00:00-04:00,202.87751892186455,218.92867162545016,199.318263676067,211.42564392089844,22914400,232.00854873657227,,,-2.542574991375318,0.26130144285968276,-2.8038764342350007
2025-04-08 00:00:00-04:00,220.3780027140348,224.63726902095286,210.25236301213724,213.82147216796875,19485700,231.47282333374022,,,-3.3268836095249696,-0.46059690330973446,-2.8662867062152353
2025-04-09 00:00:00-04:00,209.51290511747,234.14175911605213,208.03399049311142,231.0458984375,24022400,231.85907440185548,,,-2.7126448548279427,-0.9131435848944255,-1.7995012699335171
2025-04-10 00:00:00-04:00,226.76691650517765,227.11200261323083,217.00608568202182,223.91754150390625,18896400,232.0216842651367,,,-2.6985554113153114,-1.2715800849900336,-1.4269753263252778
2025-04-11 00:00:00-04:00,223.12876931722607,235.22629475740231,221.83718632835738,232.87974548339844,20284500,232.277188873291,,,-2.0266677997864235,-1.4230554341007493,-0.6036123656856742
2025-04-14 00:00:00-04:00,233.76711210699779,236.4094323607213,230.34588838919925,231.42056274414062,13017800,232.38673095703126,,,-1.5829205151127326,-1.4551059436802707,-0.1278145714324619
2025-04-15 00:00:00-04:00,232.7811727531539,235.29531563163073,229.54728057723042,229.85292053222656,10912900,232.366934967041,,,-1.3305614851798282,-1.4301487778006359,0.09958729262080768
2025-04-16 00:00:00-04:00,228.73880396905287,230.29659590484752,224.72600824712578,226.3824005126953,9322300,231.97077255249025,,,-1.3683670304203872,-1.417773278166457,0.04940624774606972
2025-04-17 00:00:00-04:00,227.5556737150443,231.04590571903626,227.30918793654973,228.69937133789062,9557900,231.69535903930665,,,-1.213716961678756,-1.3769114303514274,0.1631944686726714
2025-04-21 00:00:00-04:00,227.38806426261334,228.55146991109476,223.15835989610855,225.7711181640625,8716200,231.1451644897461,,,-1.293032811029974,-1.360119076145036,0.06708626511506188
2025-04-22 00:00:00-04:00,228.71906528837357,232.67270656039176,228.11763942409857,232.2783203125,10701400,230.60529022216798,,,-0.8610506925572281,-1.2602262561817337,0.39917556362450557
2025-04-23 00:00:00-04:00,236.84324673802962,243.32088491933087,236.6263380579327,237.4939727783203,14126800,230.1757827758789,,,-0.12723447476395222,-1.0334841850368854,0.9062497102729332
2025-04-24 00:00:00-04:00,236.36999583866177,242.01944538917732,234.2403552074537,241.20111083984375,9055200,229.936531829834,,,0.724006738874607,-0.6818076790810427,1.4058144179556495
2025-04-25 00:00:00-04:00,241.21096266132238,242.1673286292997,238.35173381630173,240.12643432617188,8588600,229.786124420166,,,1.3009400138477645,-0.28509721561299906,1.5860372294607634
2025-04-28 00:00:00-04:00,241.12224659361283,243.3701956996928,237.45453699015647,239.80108642578125,7394300,229.87765350341797,,,1.7127837962003127,0.11460869873487607,1.5981750974654367
2025-04-29 00:00:00-04:00,238.78556197088412,241.80254545200498,238.29259042052325,241.181396484375,7216800,229.91815948486328,,,2.1195510997891063,0.5157013085406158,1.6038497912484906
2025-04-30 00:00:00-04:00,237.8193419445802,241.77296836252717,235.07840628381982,241.181396484375,12991700,230.03901748657228,,,2.4134827917951895,0.8953364523261091,1.5181463394690804
2025-05-01 00:00:00-04:00,239.42642201137784,244.957563478491,238.76584193081504,243.41949462890625,8689600,230.16595077514648,,,2.7861705367663774,1.273566113395954,1.5126044233704234
2025-05-02 00:00:00-04:00,247.72805089612243,250.0548771482027,245.9533654016641,248.96047973632812,7165000,231.4092239379883,,,3.4691753118235624,1.7127463301454053,1.756428981678157
2025-05-05 00:00:00-04:00,247.64915944923072,251.5732234834037,247.06745668062948,249.009765625,5450700,233.49350662231444,,,3.9678060847009817,2.1638062459739524,1.8039998387270293
2025-05-06 00:00:00-04:00,246.48576466704802,249.09850775479987,245.49982160837982,245.74630737304688,6369900,235.20953979492188,,,4.061822108466686,2.54344171428643,1.5183803941802556
2025-05-07 00:00:00-04:00,246.33787880460858,248.90132172618286,245.33221267408402,245.88433837890625,8724100,236.81268310546875,,,4.09951992034587,2.8546785371788714,1.2448413831669982
2025-05-08 00:00:00-04:00,248.03371181647788,252.283124152028,248.01398874215974,249.90699768066406,8320100,237.75573806762696,,,4.392934898205368,3.1623465604246785,1.2305883377806897
2025-05-09 00:00:00-04:00,250.92251356291578,251.91831065658968,248.7928729020058,249.52247619628906,5087600,239.0359848022461,,,4.542604098734984,3.438410092349404,1.1041940063855797
2025-05-12 00:00:00-04:00,259.20441383845855,259.8945859876247,255.0634712092411,256.39447021484375,9603900,240.21172103881835,,,5.141284527835097,3.778996847162851,1.3622876806722464
2025-05-13 00:00:00-04:00,257.3607489039017,259.96365336015776,256.72976091028096,259.31292724609375,8589000,241.60633926391603,,,5.778316404763984,4.178871905572813,1.5994444991911712
2025-05-14 00:00:00-04:00,259.30304054504273,262.8918879441619,258.60302935469,261.90594482421875,8643100,243.20899047851563,,,6.413199332825798,4.625747356678981,1.7874519761468166
2025-05-15 00:00:00-04:00,263.217209377267,265.7313520440172,261.03828372684393,263.7298889160156,9214600,245.07636489868165,,,6.979487773538295,5.096503838627128,1.8829839349111674
2025-05-16 00:00:00-04:00,263.73979601264045,264.6862930239907,260.9890061640004,263.7989501953125,8932900,246.83134384155272,,,7.348620988482281,5.5469336973479235,1.8016872911343578
2025-05-19 00:00:00-04:00,261.817181246086,264.5482629218792,258.2480719963219,261.1566162109375,12145000,248.6006187438965,,,7.346824241691479,5.906915916486969,1.4399083252045104
2025-05-20 00:00:00-04:00,258.8297593604445,262.9115780411088,258.6128506853088,261.9453430175781,8436300,250.0839698791504,,,7.3233140652355075,6.19019813384558,1.133115931389928
2025-05-21 00:00:00-04:00,260.6340439477094,261.91575784118834,257.06493502136397,257.3705749511719,7464000,251.07779998779296,,,6.862025988165442,6.324564686594235,0.5374613015712066
2025-05-22 00:00:00-04:00,255.79307750804895,258.6128603010642,255.2310827258566,257.00579833984375,6514100,251.86803436279297,,,6.393640977204427,6.338380025480836,0.055260951723591134
2025-05-23 00:00:00-04:00,253.20005483078515,258.30723306371834,252.40144329619352,257.04522705078125,6671800,252.71397399902344,,,5.956831139473195,6.262069891391672,-0.30523875191847694
2025-05-27 00:00:00-04:00,258.35653699260183,261.5706910214846,258.30722178470336,261.56085205078125,7506600,253.80196228027344,,,5.902370694876851,6.190129782928806,-0.2877590880519554
2025-05-28 00:00:00-04:00,262.49747628554394,262.9707397963694,259.20443000527837,259.7861328125,5535400,254.7321990966797,,,5.652384229868318,6.08258035040455,-0.43019612053623213
2025-05-29 00:00:00-04:00,261.0776958297107,261.6791367091541,258.8396160390441,260.65374755859375,5081200,255.70581665039063,,,5.460502066988738,5.958164395804363,-0.49766232881562456
2025-05-30 00:00:00-04:00,259.7467447472313,261.6002926650584,259.03686444878326,260.28900146484375,10977700,256.5492919921875,,,5.219053486737067,5.810341930819319,-0.5912884440822515
2025-06-02 00:00:00-04:00,259.3227361836595,261.3044913883967,258.21848475626587,260.939697265625,6011200,257.1482528686523,240.95894622802734,,5.021776334538799,5.652628569868193,-0.6308522353293933
2025-06-03 00:00:00-04:00,260.02276495317653,262.83267850504353,259.184707363763,262.52703857421875,6998400,257.8241165161133,241.3775311787923,,4.935476433368223,5.509197966722791,-0.5737215333545684
2025-06-04 00:00:00-04:00,262.18197450214643,263.3650880431389,260.4664132303892,260.505859375,5915700,258.5620941162109,241.92672754923504,,4.651589180541123,5.337676041258242,-0.6860868607171193
2025-06-05 00:00:00-04:00,261.0185511699558,261.0185511699558,256.65083071751394,258.2677917480469,8173800,259.18126678466797,242.488924407959,,4.1988869193032485,5.109918038159724,-0.9110311188564753
2025-06-06 00:00:00-04:00,260.61431507286125,262.90171018684686,260.5453219261883,261.9946594238281,7738100,259.7856498718262,243.13348744710285,,4.091630948625635,4.906260492414992,-0.8146295437893567
2025-06-09 00:00:00-04:00,262.26085974590114,264.13414558351,259.6481165969787,262.9904479980469,8285000,260.45904846191405,243.83890584309896,,4.039870611207505,4.732982429158772,-0.6931118179512676
2025-06-10 00:00:00-04:00,262.1425742010461,265.12011173513696,262.1129971095637,264.8243408203125,7538100,260.8805419921875,244.45648396809895,,4.098686971173436,4.60612328659801,-0.5074363154245747
2025-06-11 00:00:00-04:00,264.9031944101953,265.8299833646017,262.05383439482847,264.3806457519531,7434100,261.1339279174805,245.04233271280924,,4.062810946661443,4.497460783687915,-0.43464983702647153
2025-06-12 00:00:00-04:00,263.108754096244,264.51867555838396,261.41296089523235,264.4693603515625,6618000,261.26209869384763,245.61267471313477,,3.9954099266311687,4.397050586460091,-0.4016406598289226
2025-06-13 00:00:00-04:00,261.3537943064321,263.2665264050775,259.01711387885933,261.22564697265625,7098300,261.1368865966797,246.06134134928385,,3.6394710216706585,4.245534642337183,-0.6060636206665242
2025-06-16 00:00:00-04:00,263.2468158366327,267.91033767567086,263.0989303847809,266.5595703125,8566000,261.27491760253906,246.6005401611328,,3.742802990593873,4.144988295443574,-0.4021853048497013
2025-06-17 00:00:00-04:00,264.4003851091389,266.78635065847226,264.03556087289496,265.73138427734375,6739300,261.5036560058594,247.08314641316733,,3.7152706479574817,4.059044754632716,-0.34377410667523467
2025-06-18 00:00:00-04:00,266.20462172672063,273.81610322556173,265.92855887810333,270.10894775390625,9586400,261.9118362426758,247.53369878133137,,3.999271289919534,4.0470900604311035,-0.047818770511569575
2025-06-20 00:00:00-04:00,271.6963637187332,273.40202612817967,269.9610941294445,271.1343688964844,13969700,262.6000259399414,247.95120290120443,,4.257692274907299,4.089210506874982,0.16848176803231674
2025-06-23 00:00:00-04:00,271.1934990823813,274.63443077664516,268.2849549834157,274.3583679199219,8094600,263.4676544189453,248.42407353719076,,4.667986794564854,4.2049657722148455,0.4630210223500084
2025-06-24 00:00:00-04:00,276.2711076585184,278.7359654088068,275.580965541595,277.3063659667969,9267900,264.48071136474607,248.99360326131185,,5.170696573627197,4.398111942911736,0.7725846307154605
2025-06-25 00:00:00-04:00,277.5429742316298,280.283894762949,276.96127143090536,280.0669860839844,6826900,265.40601806640626,249.6952112833659,,5.725223222818158,4.663534210342253,1.061689012475905
