ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,485.6246025136728,491.3691233038461,479.8800817234996,484.5531005859375,1829000
2025-03-11 04:00:00+00:00,486.1504414876302,487.0830590425059,475.7230009006957,476.22900390625,1859200
2025-03-12 04:00:00+00:00,479.9098817511982,483.39231627048406,470.31586790627193,474.5027160644531,1677600
2025-03-13 04:00:00+00:00,474.4729321117529,478.0049615560216,471.37741807628305,476.0802001953125,1760700
2025-03-14 04:00:00+00:00,478.16371871254773,483.13433858440635,474.8201686578505,482.66802978515625,1427800
2025-03-17 04:00:00+00:00,483.74942735099035,492.3413957003352,481.63618663596833,490.3868713378906,1168300
2025-03-18 04:00:00+00:00,489.33523706676317,492.698619095499,480.9714720661707,486.53741455078125,1469800
2025-03-19 04:00:00+00:00,486.74573789909425,493.7899646967894,486.2794291177276,491.3294372558594,1224200
2025-03-20 04:00:00+00:00,491.13101827643146,495.3674917259615,489.29557644888354,493.2939147949219,1342100
2025-03-21 04:00:00+00:00,490.2380964654719,494.12731353808977,488.2835719410331,493.96856689453125,2603900
2025-03-24 04:00:00+00:00,499.15746070843005,503.7014963410564,497.16327222729575,499.98095703125,1560600
2025-03-25 04:00:00+00:00,504.31657563090283,510.3190330702867,502.02472604293274,509.1284484863281,1351300
2025-03-26 04:00:00+00:00,508.3744749148544,510.62660001935603,501.19133367211987,503.8105773925781,1053800
2025-03-27 04:00:00+00:00,503.4435271564337,507.6403063803771,500.9235036744894,504.64404296875,821200
2025-03-28 04:00:00+00:00,503.78081983021394,506.9259288324197,497.8676515721752,498.5621643066406,1140500
2025-03-31 04:00:00+00:00,497.6493803428366,506.56874297384707,493.9883674800674,504.1082458496094,1420600
2025-04-01 04:00:00+00:00,500.10993545495353,508.4141742650253,499.078097419133,506.7672119140625,980700
2025-04-02 04:00:00+00:00,501.78662418154164,510.8647030067413,501.2905523149521,509.9420166015625,864000
2025-04-03 04:00:00+00:00,494.2165976352746,503.9792890274543,484.7317052969357,485.53533935546875,1516900
2025-04-04 04:00:00+00:00,473.53037651201475,475.23686500456375,447.17904044881027,447.9529113769531,1961400
2025-04-07 04:00:00+00:00,439.3609260015405,457.1996811767697,423.78428759866654,434.86651611328125,3184700
2025-04-08 04:00:00+00:00,459.263365717244,466.6945434774305,431.32459226510537,438.031494140625,2265700
2025-04-09 04:00:00+00:00,431.58255784426484,472.20092789440866,424.6375511663112,470.2662353515625,2733400
2025-04-10 04:00:00+00:00,467.35922639960467,467.35922639960467,443.96449039985265,454.1637268066406,1685200
2025-04-11 04:00:00+00:00,452.4473331020755,463.23193129686285,447.2385781843196,461.48577880859375,1045200
2025-04-14 04:00:00+00:00,468.4704319841605,471.26828464599987,464.7796559964514,467.88507080078125,825300
