ts,open,high,low,close,volume,ma20,ma60,ma240,macd,signal,hist
2025-03-07 00:00:00-05:00,140.54453549193903,142.94398283394966,137.06338017135195,138.2827606201172,31904400,,,,0.0,0.0,0.0
2025-03-10 00:00:00-04:00,133.73462777626375,135.65713560056068,128.8226542719028,130.33705139160156,33484200,,,,-0.17826911730642792,-0.09903839850357106,-0.07923071880285686
2025-03-11 00:00:00-04:00,135.86365922370805,138.98391016509822,133.77888534097983,136.70936584472656,29094800,,,,-0.029545149628830814,-0.07055755880080866,0.04101240917197785
2025-03-12 00:00:00-04:00,136.10458493970097,136.6405247556861,133.03152521145518,134.86061096191406,23880900,,,,-0.027927087879447754,-0.05611634236403328,0.02818925448458553
2025-03-13 00:00:00-04:00,132.53000755871318,137.94842108167433,132.10714673648081,136.05050659179688,20516300,,,,0.02088876373710491,-0.03320906425208118,0.05409782798918609
2025-03-14 00:00:00-04:00,139.00063602457374,139.46282538282685,137.13220680892792,138.75479125976562,17381900,,,,0.16547786727045377,0.020646140970220984,0.14483172630023278
2025-03-17 00:00:00-04:00,137.83040642828954,145.96294008360957,137.70256235460567,145.11724853515625,33897000,,,,0.543584005415056,0.15298776374844852,0.3905962416666075
2025-03-18 00:00:00-04:00,143.94703778400705,144.42888394078125,140.1315220657539,140.36753845214844,20950100,,,,0.5624803678638557,0.251396537027508,0.31108383083634766
2025-03-19 00:00:00-04:00,142.65881438924563,142.78664346975737,139.5119892397443,140.81988525390625,16333800,,,,0.5894499361671421,0.32948854932032473,0.2599613868468174
2025-03-20 00:00:00-04:00,134.89502478083517,136.67986016529943,134.10339683939705,134.63442993164062,23646800,,,,0.28139685056740404,0.3187132170803892,-0.037316366512985144
2025-03-21 00:00:00-04:00,131.7629646957624,134.2017405454286,131.0844307484551,132.8938446044922,13970300,,,,-0.03788423531742069,0.24069173207079608,-0.27857596738821677
2025-03-24 00:00:00-04:00,134.06406927787478,134.1623981809374,131.40894881240482,132.24481201171875,14019000,,,,-0.307101706130652,0.12304867511487191,-0.43015038124552396
2025-03-25 00:00:00-04:00,130.73040825588077,133.98046868805216,130.1502182400433,130.54356384277344,17943400,,,,-0.5987872396807177,-0.02971688323046555,-0.5690703564502522
2025-03-26 00:00:00-04:00,131.31060561681676,132.42182876418846,128.95050185807332,130.04205322265625,15933500,,,,-0.8384063863825872,-0.19889533066586224,-0.639511055716725
2025-03-27 00:00:00-04:00,131.23192782804085,135.49488250183475,130.67140958672508,133.37570190429688,16688300,,,,-0.810593854964651,-0.32569645340951425,-0.4848974015551367
2025-03-28 00:00:00-04:00,131.28110463361162,131.97931036914542,129.2160026035977,130.2288818359375,13271500,,,,-0.9701551930596395,-0.4583212577097044,-0.511833935349935
2025-03-31 00:00:00-04:00,127.86878033279268,130.66157331352667,125.87252200454083,130.03221130371094,12183800,,,,-1.0919742769343372,-0.5879713214483404,-0.5040029554859968
2025-04-01 00:00:00-04:00,130.5435719791133,131.87113973012296,129.3438483092868,130.49440002441406,11627500,,,,-1.1427217527884466,-0.7009567726602669,-0.44176498012817966
2025-04-02 00:00:00-04:00,129.76670481717775,130.6222397809585,127.0033971083772,127.63275909423828,21240900,,,,-1.351393365914646,-0.8329462602945883,-0.5184471056200577
2025-04-03 00:00:00-04:00,123.55666286173938,128.49814430549736,123.41407619436627,127.180419921875,30607600,134.03014183044434,,,-1.5254042612296814,-0.9730531833266869,-0.5523510779029945
2025-04-04 00:00:00-04:00,115.61587605997488,116.89427184206006,109.45009264020051,114.60299682617188,57154500,132.84615364074708,,,-2.47368045262823,-1.2759725754376126,-1.1977078771906173
2025-04-07 00:00:00-04:00,104.84787547131485,112.22321823794286,100.93402360868615,104.21851348876953,61386600,131.54022674560548,,,-3.874923698301828,-1.799626685349935,-2.075297012951893
2025-04-08 00:00:00-04:00,106.46062338079965,107.18832181348792,96.12530694741692,97.7183837890625,52100200,129.59067764282227,,,-5.35732188323766,-2.5153908508082288,-2.841931032429431
2025-04-09 00:00:00-04:00,98.92793488439902,105.26089862040442,94.13888352109903,103.03845977783203,74981900,127.99957008361817,,,-6.079695373961712,-3.2316341186405175,-2.848061255321195
2025-04-10 00:00:00-04:00,105.08388915861244,106.64745829560636,99.68514010656077,102.44843292236328,53133400,126.31946640014648,,,-6.610962533380828,-3.91006283280521,-2.700899700575618
2025-04-11 00:00:00-04:00,103.03845748630623,106.2482067024208,100.4915093028695,105.9394302368164,40522800,124.67869834899902,,,-6.701926182510903,-4.470128196443284,-2.231797986067619
2025-04-14 00:00:00-04:00,110.0106195592622,114.07197242841143,109.84343941494416,112.07571411132812,32926100,123.02662162780761,,,-6.259533891425036,-4.828876736184519,-1.4306571552405174
2025-04-15 00:00:00-04:00,111.88887173659857,112.10521633696104,109.61726843796697,110.41380310058594,16172300,121.5289348602295,,,-5.960464120104476,-5.055632823029536,-0.9048312970749395
2025-04-16 00:00:00-04:00,106.37703381185321,107.15881837124715,104.18900938081147,104.97571563720703,18031600,119.73672637939453,,,-6.049816925250326,-5.25477780540783,-0.795039119842496
