ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,118.2340002798589,119.97683968252768,117.10741372718283,117.502197265625,1451300
2025-03-11 04:00:00+00:00,117.67551816960614,117.78143731631314,115.01792317768042,116.00971221923828,939000
2025-03-12 04:00:00+00:00,116.07712500722562,116.5489420279322,113.50618689873926,114.00689697265625,797000
2025-03-13 04:00:00+00:00,114.27650337671606,114.7772060897634,111.80186082490837,112.4181137084961,898000
2025-03-14 04:00:00+00:00,112.90919115612685,114.27650176313611,112.06183794342294,113.70838928222656,1018400
2025-03-17 04:00:00+00:00,113.20768745591042,115.97120174336487,113.20768745591042,115.67269897460938,705900
2025-03-18 04:00:00+00:00,115.46086663157735,116.17340763772316,114.51722528858936,115.1527328491211,632600
2025-03-19 04:00:00+00:00,115.22977256366565,116.29858780418876,114.10318590894587,115.39346313476562,1051000
2025-03-20 04:00:00+00:00,115.55715588424194,116.1830397798669,114.3824215393519,115.59567260742188,789200
2025-03-21 04:00:00+00:00,115.09495350229965,115.38382523027789,113.05361875847248,114.78682708740234,1697200
2025-03-24 04:00:00+00:00,115.41271226702685,117.35775890610095,115.04681444083243,117.11703491210938,717700
2025-03-25 04:00:00+00:00,118.43620280079263,118.54212194384797,115.86527235676863,116.73188018798828,745600
2025-03-26 04:00:00+00:00,117.24222918094215,117.75256292977389,116.56819751472085,117.67552947998047,971400
2025-03-27 04:00:00+00:00,117.99327874317491,119.23541548601446,117.30962345301924,117.41554260253906,643700
2025-03-28 04:00:00+00:00,118.97542781788849,118.97542781788849,116.1926589560341,117.7621841430664,1151100
2025-03-31 04:00:00+00:00,118.5294669900398,120.74388060869468,117.98557800578958,118.78199005126953,1480300
2025-04-01 04:00:00+00:00,118.78198432001481,118.93737798947495,116.82008644731995,118.41291046142578,1350900
2025-04-02 04:00:00+00:00,118.44204575020738,119.59781719042905,117.76218455591892,119.2676010131836,844500
2025-04-03 04:00:00+00:00,118.03412838962525,119.76292462561021,115.25639710823442,115.4700698852539,1079800
2025-04-04 04:00:00+00:00,114.24631912623252,114.24631912623252,107.09803214049039,107.25343322753906,1960400
2025-04-07 04:00:00+00:00,105.3886538665409,108.87538203894576,102.06702636486328,104.94188690185547,1920500
2025-04-08 04:00:00+00:00,107.49623914020701,107.933291719058,102.45552950846358,103.46561431884766,1749000
2025-04-09 04:00:00+00:00,101.97962232482016,109.50668968689021,99.40584942225513,108.4966049194336,2350300
2025-04-10 04:00:00+00:00,107.53507866567172,108.99193032950954,102.79544984363031,104.95159149169922,1832100
2025-04-11 04:00:00+00:00,103.73755495937796,105.24297140394553,101.97962287902232,104.8253402709961,1358700
2025-04-14 04:00:00+00:00,105.80628651225516,108.49660275868544,105.56347789250788,107.98184967041016,1094400
2025-04-15 04:00:00+00:00,108.59372657672205,109.30273101884622,107.6419209206405,108.13724517822266,979000
2025-04-16 04:00:00+00:00,108.20523716994164,109.25416477869769,106.52499825612263,107.03003692626953,851100
2025-04-17 04:00:00+00:00,107.52537116882318,110.21569489747148,107.52537116882318,109.05020904541016,581700
2025-04-21 04:00:00+00:00,107.90414881646971,108.99193409731464,106.369596565795,107.62248992919922,785100
2025-04-22 04:00:00+00:00,109.22503100108305,110.9829630752314,108.76854960040934,109.90489959716797,862500
2025-04-23 04:00:00+00:00,110.80814963328716,112.67292565772605,110.15742424331829,110.7498779296875,815300
2025-04-24 04:00:00+00:00,111.14808221605283,111.98334450638835,110.18655469419804,110.74015808105469,684700
2025-04-25 04:00:00+00:00,110.79844181616116,111.38118107771152,110.02145119413954,110.72074127197266,950800
2025-04-28 04:00:00+00:00,110.40994255560109,111.42002736412408,109.57468026028269,110.93441009521484,960100
2025-04-29 04:00:00+00:00,110.41965829966327,110.83728945232976,109.13762899076895,109.74950408935547,1243700
2025-04-30 04:00:00+00:00,109.86604950025698,110.96354181960652,108.13724586288284,110.5264892578125,1061900
2025-05-01 04:00:00+00:00,110.82757304945154,112.55636933098064,109.72036627566479,111.52686309814453,1089500
2025-05-02 04:00:00+00:00,114.90675438697761,117.79132211446269,114.08120652195659,117.39311981201172,1793700
2025-05-05 04:00:00+00:00,117.07261224580898,117.83988842097826,115.47007377412285,115.78086853027344,975300
2025-05-06 04:00:00+00:00,115.51863479817635,116.2761965291256,114.7999159268229,115.56719207763672,753500
2025-05-07 04:00:00+00:00,115.51863479817635,116.69382766412726,115.25639733135161,115.56719207763672,931400
2025-05-08 04:00:00+00:00,115.95569103952775,116.15964940356311,113.84811386789757,114.11034393310547,1418700
