ts,open,high,low,close,volume
2025-03-10 04:00:00+00:00,547.6138734714211,549.0939109672898,532.3300292330777,538.0824584960938,819700
2025-03-11 04:00:00+00:00,535.9709648429418,541.9206847151387,528.7878200737111,534.5106201171875,846600
2025-03-12 04:00:00+00:00,537.9541913274443,541.8614518288441,531.3334684892446,537.8160400390625,662900
2025-03-13 04:00:00+00:00,536.7799562792892,540.0360263495749,529.9816370465913,534.2540283203125,650800
2025-03-14 04:00:00+00:00,539.8387425041589,549.2813890273503,537.174662946479,547.3277587890625,405800
2025-03-17 04:00:00+00:00,545.3444488478368,561.516338313459,544.7523977655286,558.4378051757812,343100
2025-03-18 04:00:00+00:00,558.9311675194308,563.9041317774479,557.3229155998615,561.1315307617188,555200
2025-03-19 04:00:00+00:00,560.2927975144348,566.0452263693537,554.5996279691113,562.8187255859375,522000
2025-03-20 04:00:00+00:00,557.8063905950411,564.328407752066,555.0337895507718,558.4575805664062,580600
2025-03-21 04:00:00+00:00,554.4910676264503,556.227654534739,547.3671829491277,555.0732421875,822800
2025-03-24 04:00:00+00:00,562.2760988865336,566.4004628277263,557.6781422165166,559.2469482421875,476900
2025-03-25 04:00:00+00:00,561.4867034112054,568.8671370965766,556.6913968259897,566.9628295898438,409800
2025-03-26 04:00:00+00:00,567.0813043911173,571.225421597043,558.0234817651999,561.8912963867188,455100
2025-03-27 04:00:00+00:00,562.6510837217909,563.4009790739079,556.375738758628,558.2406005859375,453900
2025-03-28 04:00:00+00:00,558.5266748377475,561.9899721763651,547.682943204036,551.0376586914062,390000
2025-03-31 04:00:00+00:00,546.715936202513,559.7303998884798,542.7296638797926,557.9740600585938,569400
2025-04-01 04:00:00+00:00,556.6716491542478,562.8089021063046,553.2478582738513,559.7501220703125,550100
2025-04-02 04:00:00+00:00,554.491055651759,569.0447569120422,553.8201125831148,568.294921875,481900
2025-04-03 04:00:00+00:00,554.1062623859641,556.7012660031226,536.4345828451947,536.9378051757812,631700
2025-04-04 04:00:00+00:00,525.995462239572,526.1631829525778,500.3908026542585,500.6867980957031,1194700
2025-04-07 04:00:00+00:00,490.6620147991976,514.4116595568945,480.26227654037535,499.8185119628906,1092200
2025-04-08 04:00:00+00:00,516.4343877115367,524.5844094275726,490.23770866994323,500.2230224609375,852900
2025-04-09 04:00:00+00:00,493.34577598799495,543.588092952208,488.68859065821084,542.019287109375,935700
2025-04-10 04:00:00+00:00,530.3368287278669,531.1459230212698,503.04493698795244,520.7462158203125,525800
2025-04-11 04:00:00+00:00,517.0462037381063,538.7731140135198,514.717565557469,534.4909057617188,464600
2025-04-14 04:00:00+00:00,544.0124023973942,550.4654041561815,540.4504600909021,543.9137573242188,484200
2025-04-15 04:00:00+00:00,546.5382696816167,554.5403836245595,544.9595873493472,549.1629028320312,362000
2025-04-16 04:00:00+00:00,543.9334603971306,548.7583362217132,531.5800631388086,535.33935546875,418500
2025-04-17 04:00:00+00:00,540.243313522159,547.6533173017511,535.7735713952496,539.61181640625,508600
2025-04-21 04:00:00+00:00,532.093170596364,535.4577622784664,518.7728346924789,526.3801879882812,917300
2025-04-22 04:00:00+00:00,514.7076838326498,533.4153175390982,509.4189712249154,531.3136596679688,818200
2025-04-23 04:00:00+00:00,540.914178838131,552.5373736058922,524.712660749854,526.3110961914062,940900
2025-04-24 04:00:00+00:00,528.7779045595803,531.2643868307812,521.9598916413121,523.53857421875,689700
2025-04-25 04:00:00+00:00,525.8770219853676,530.5934369990075,521.6342599172596,528.2352294921875,504500
2025-04-28 04:00:00+00:00,527.5642624707124,532.0241278163811,522.3841315215248,527.8306884765625,433200
2025-04-29 04:00:00+00:00,529.3897040313794,535.6749250733192,524.3377873387286,533.2673950195312,350500
2025-04-30 04:00:00+00:00,529.8435374015293,539.2566142479293,524.1996900928409,537.85546875,600800
2025-05-01 04:00:00+00:00,535.7735836824987,544.9399277341407,532.4878835168457,538.802734375,430400
