ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-07 09:02:00,58.1,58.1,58.0,58.0,150,8700.1,,,,0.0,0.0,0.0
2025-03-07 09:06:00,58.0,58.0,58.0,58.0,2000,116000.0,,,,0.0,0.0,0.0
2025-03-07 09:09:00,58.2,58.2,58.2,58.2,1,58.2,,,,0.006201988032657368,0.0025417983740399046,0.003660189658617464
2025-03-07 09:11:00,58.2,58.2,58.2,58.2,500,29100.0,,,,0.008870778790814882,0.004685761929857986,0.004185016860956896
2025-03-07 09:12:00,58.2,58.2,58.0,58.0,3000,174400.0,,,,0.0021757472623775698,0.003939089313401413,-0.0017633420510238433
2025-03-07 09:15:00,59.0,59.0,59.0,59.0,502,29618.0,,,,0.0408708140629912,0.013949640084714455,0.026921173978276744
2025-03-07 09:16:00,59.0,59.0,59.0,59.0,1000,59000.0,,,,0.0649823518197934,0.02686465799599882,0.03811769382379457
2025-03-07 09:20:00,58.7,58.7,58.5,58.5,3000,175900.0,,,,0.056325143943773526,0.03394456677381012,0.022380577169963403
2025-03-07 09:23:00,58.7,58.7,58.5,58.5,1010,59087.0,,,,0.049473179182598415,0.037531753278083634,0.011941425904514781
2025-03-07 09:25:00,58.9,58.9,58.9,58.9,10,589.0,,,,0.06449653823368351,0.04357343041175651,0.020923107821927002
2025-03-07 09:29:00,58.9,58.9,58.9,58.9,1000,58900.0,,,,0.074448144914399,0.050328641528789665,0.02411950338560933
2025-03-07 09:51:00,58.7,58.7,58.5,58.5,2000,117200.0,,,,0.05875892770671953,0.052139113447257995,0.006619814259461537
2025-03-07 09:56:00,58.3,58.3,58.3,58.3,2,116.6,,,,0.03504628402436083,0.04852167688450406,-0.01347539286014323
2025-03-07 09:58:00,58.3,58.9,58.3,58.9,6000,351600.0,,,,0.051615578850572774,0.049168923484214616,0.002446655366358158
2025-03-07 09:59:00,59.0,59.0,59.0,59.0,5000,295000.0,,,,0.06938691204927494,0.053359980921547465,0.016026931127727476
2025-03-07 10:01:00,59.1,59.1,59.1,59.1,100,5910.0,,,,0.08806453894113275,0.06050192024596547,0.027562618695167282
2025-03-07 10:05:00,58.5,58.5,58.5,58.5,1000,58500.0,,,,0.0640852284378397,0.06123509143173548,0.002850137006104224
2025-03-07 10:06:00,59.1,59.1,58.5,58.5,6000,353600.0,,,,0.04493422898205779,0.057915111500271066,-0.012980882518213277
2025-03-07 10:07:00,58.9,58.9,58.9,58.9,2000,117800.0,,,,0.05532948403245541,0.05739042446969875,-0.002060940437243336
2025-03-07 10:08:00,58.9,58.9,58.9,58.9,1000,58900.0,58.589999999999996,,,0.06267392307548647,0.05845944920694152,0.004214473868544948
2025-03-07 10:09:00,58.9,59.2,58.9,59.2,8031,474432.2,58.65,,,0.08744504695711441,0.06431053550270163,0.02313451145441278
2025-03-07 10:14:00,59.2,59.2,59.2,59.2,3000,177600.0,58.71,,,0.10558117524089994,0.07262602090275065,0.03295515433814929
2025-03-07 10:15:00,59.2,59.2,59.0,59.0,5700,336520.0,58.75,,,0.10480732523864589,0.07910050035085439,0.025706824887791496
2025-03-07 10:20:00,58.7,58.7,58.7,58.7,500,29350.0,58.775,,,0.0823451581782848,0.07975251094933723,0.0025926472289475727
2025-03-07 10:22:00,59.0,59.0,59.0,59.0,300,17700.0,58.825,,,0.0847612119292549,0.080758049964314,0.004003161964940896
2025-03-07 10:28:00,58.7,58.7,58.7,58.7,1000,58700.0,58.80999999999999,,,0.06458369769669758,0.07751337307662613,-0.012929675379928549
2025-03-07 10:29:00,58.7,58.7,58.7,58.7,3050,179035.0,58.794999999999995,,,0.048107895966538194,0.07161802357415015,-0.023510127607611953
2025-03-07 10:38:00,58.5,58.7,58.5,58.7,3300,193110.0,58.80499999999999,,,0.03470049844700185,0.06422020909442727,-0.029519710647425423
2025-03-07 10:39:00,58.8,58.8,58.8,58.8,300,17640.0,58.81999999999999,,,0.031044720918870894,0.05757482823050631,-0.026530107311635416
2025-03-07 10:40:00,58.5,58.5,58.5,58.5,3000,175500.0,58.8,,,0.006041468862790111,0.04725538150067294,-0.04121391263788283
2025-03-07 10:44:00,58.8,58.8,58.8,58.8,10,588.0,58.794999999999995,,,0.00838436582102986,0.03947347153440084,-0.03108910571337098
2025-03-07 10:46:00,58.4,58.7,58.4,58.7,1001,58458.7,58.80499999999999,,,0.002756953529889472,0.03212434535586645,-0.02936739182597698
2025-03-07 10:49:00,58.7,58.7,58.7,58.7,1000,58700.0,58.825,,,-0.001673364646606501,0.025360516269371195,-0.027033880915977696
2025-03-07 10:51:00,58.6,58.6,58.6,58.6,2000,117200.0,58.80999999999999,,,-0.012564088893782355,0.01777174727371155,-0.030335836167493906
2025-03-07 10:56:00,58.6,58.6,58.6,58.6,50,2930.0,58.79,,,-0.020936349321395653,0.010026986306405685,-0.03096333562780134
2025-03-07 10:57:00,58.4,58.5,58.4,58.5,4170,243745.0,58.760000000000005,,,-0.03476427172486751,0.0010658266375762175,-0.03583009836244373
2025-03-07 11:01:00,58.7,58.7,58.7,58.7,10,587.0,58.77,,,-0.03007663817429318,-0.005164283753928367,-0.024912354420364814
2025-03-07 11:12:00,58.3,58.3,58.3,58.3,1000,58300.0,58.760000000000005,,,-0.05639848241596468,-0.015413252113784354,-0.04098523030218033
2025-03-07 11:13:00,58.3,58.5,58.3,58.5,4000,233800.0,58.739999999999995,,,-0.06112542657020725,-0.024557206305056836,-0.036568220265150414
2025-03-07 11:15:00,58.6,58.6,58.6,58.6,10,586.0,58.725,,,-0.05648451072977423,-0.030943516076174064,-0.025540994653600164
2025-03-07 11:20:00,58.4,58.4,58.4,58.4,2000,116800.0,58.685,,,-0.06753117033581901,-0.03826182514420666,-0.029269345191612353
2025-03-07 11:23:00,58.6,58.6,58.6,58.6,2000,117200.0,58.654999999999994,,,-0.06003157470334486,-0.0426161454806419,-0.017415429222702956
2025-03-07 11:27:00,58.6,58.6,58.6,58.6,100,5860.0,58.635000000000005,,,-0.05347190547185221,-0.04478744524988892,-0.008684460221963293
2025-03-07 11:36:00,58.2,58.3,58.1,58.3,6001,349158.3,58.614999999999995,,,-0.07090630236732665,-0.05001150109803069,-0.020894801269295958
2025-03-07 11:37:00,58.6,58.6,58.6,58.6,10,586.0,58.59499999999999,,,-0.060508196953200866,-0.0521109317121647,-0.008397265241036164
2025-03-07 11:46:00,58.6,58.6,58.6,58.6,1,58.6,58.59000000000001,,,-0.051672999554256194,-0.05202334222853494,0.00035034267427874743
2025-03-07 12:12:00,58.5,58.5,58.5,58.5,100,5850.0,58.580000000000005,,,-0.051941433196766695,-0.05200695996551045,6.552676874375246e-05
2025-03-07 12:26:00,58.5,58.5,58.5,58.5,200,11700.0,58.57000000000001,,,-0.0515575091529783,-0.05191706779834171,0.0003595586453634114
2025-03-07 12:31:00,58.5,58.5,58.3,58.3,8000,467400.0,58.545,,,-0.066281045793815,-0.05478991465073689,-0.011491131143078107
2025-03-07 12:42:00,58.5,58.5,58.5,58.5,10,585.0,58.545,,,-0.061416078550173836,-0.056115166345248504,-0.0053009122049253316
2025-03-07 12:44:00,58.1,58.1,58.1,58.1,500,29050.0,58.510000000000005,,,-0.08822805184991012,-0.06253781677988494,-0.025690235070025172
2025-03-07 12:46:00,58.1,58.3,58.1,58.3,5300,308390.0,58.489999999999995,,,-0.09253689462254755,-0.0685376871535448,-0.023999207469002748
2025-03-07 12:47:00,58.1,58.1,58.1,58.1,415,24111.5,58.46,,,-0.11055845503285155,-0.07694190214327598,-0.033616552889575574
2025-03-07 12:57:00,58.1,58.1,58.1,58.1,3000,174300.0,58.435,,,-0.12341184626721002,-0.08623594530109997,-0.03717590096611005
2025-03-07 12:59:00,58.1,58.3,58.1,58.3,3000,174700.0,58.419999999999995,,,-0.11633122091467385,-0.09225502857389492,-0.02407619234077893
2025-03-07 13:08:00,58.4,58.4,58.4,58.4,1000,58400.0,58.415,,,-0.10157873503676029,-0.09411977684331957,-0.007458958193440723
2025-03-07 13:10:00,58.0,58.0,58.0,58.0,200,11600.0,58.379999999999995,,,-0.1204028425153254,-0.09937640571162758,-0.021026436803697826
2025-03-07 13:14:00,58.4,58.4,58.4,58.4,1000,58400.0,58.385000000000005,,,-0.10220692922827368,-0.0999425117705115,-0.00226441745776218
2025-03-07 13:18:00,58.4,58.4,58.4,58.4,1000,58400.0,58.379999999999995,,,-0.08678631842004592,-0.09731126805995682,0.010524949639910908
2025-03-07 13:19:00,58.2,58.2,58.2,58.2,3000,174600.0,58.36,58.55833333333333,,-0.08952377447194948,-0.09575376695549186,0.0062299924835423764
2025-03-07 13:25:00,57.9,57.9,57.9,57.9,1000,57900.0,58.335,58.556666666666665,,-0.1143749135473584,-0.09947800083976263,-0.014896912707595772
2025-03-07 13:26:00,58.2,58.2,57.9,57.9,3010,174582.0,58.3,58.555,,-0.13253795066658114,-0.10608999729015357,-0.026447953376427566
2025-03-07 13:27:00,58.4,58.4,57.9,58.1,2001,116058.4,58.275,58.553333333333335,,-0.12941644543066388,-0.11075529057882069,-0.018661154851843192
2025-03-07 13:30:00,58.1,58.1,58.1,58.1,1000,58100.0,58.265,58.55166666666666,,-0.12549462161756963,-0.11370315863697725,-0.011791462980592388
2025-03-07 13:31:00,57.8,58.0,57.8,58.0,12970,750660.0,58.235,58.55166666666666,,-0.12891803871544028,-0.11674613618075623,-0.012171902534684045
2025-03-07 13:32:00,58.0,58.0,58.0,58.0,7000,406000.0,58.205,58.535,,-0.1301294723030324,-0.1194228044805215,-0.010706667822510896
