ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-07 10:44:00,33.3,33.3,33.3,33.3,1,33300.0,,,,0.0,0.0,0.0
2025-03-07 11:09:00,33.3,33.3,33.3,33.3,1,33300.0,,,,0.0,0.0,0.0
2025-03-07 11:11:00,33.4,33.4,33.4,33.4,1,33400.0,,,,0.003100994016328684,0.0012708991870199523,0.001830094829308732
2025-03-07 11:12:00,33.45,33.45,33.45,33.45,1,33450.0,,,,0.006240620351398718,0.002954409066552054,0.003286211284846664
2025-03-07 12:55:00,33.35,33.35,33.35,33.35,2,66700.0,,,,0.003836035430943241,0.0032166729779011696,0.0006193624530420713
2025-03-07 13:03:00,33.35,33.35,33.35,33.35,4,133400.0,,,,0.002318449080185303,0.0029732043613375403,-0.0006547552811522373
2025-03-07 13:04:00,33.35,33.35,33.35,33.35,3,100050.0,,,,0.0013052716909385254,0.002551095098854189,-0.0012458234079156636
2025-03-07 13:06:00,33.35,33.35,33.35,33.35,1,33350.0,,,,0.0006049181133676029,0.0020833921713754385,-0.0014784740580078355
2025-03-07 13:11:00,33.3,33.3,33.3,33.3,1,33300.0,,,,-0.002369949658856285,0.0010546481154491646,-0.0034245977743054498
2025-03-07 13:13:00,33.3,33.3,33.3,33.3,1,33300.0,,,,-0.0044457609638470785,-0.0001777628166220527,-0.004267998147225026
2025-03-07 13:21:00,33.3,33.3,33.25,33.25,5,166300.0,,,,-0.008547205582615902,-0.002008949071360554,-0.006538256511255348
2025-03-07 13:30:00,33.25,33.25,33.25,33.25,2,66500.0,,,,-0.01143789622923208,-0.004033891486096011,-0.00740400474313607
2025-03-10 09:01:00,33.3,33.3,33.3,33.3,3,99900.0,,,,-0.010605573828236459,-0.005424687789920231,-0.005180886038316228
2025-03-10 09:04:00,33.35,33.35,33.35,33.35,1,33350.0,,,,-0.006947016603497502,-0.0057431601135540964,-0.0012038564899434058
2025-03-10 09:06:00,33.35,33.35,33.35,33.35,1,33350.0,,,,-0.00409927742326488,-0.005402393931346158,0.0013031165080812784
2025-03-10 09:34:00,33.25,33.25,33.25,33.25,4,133000.0,,,,-0.007951874035825313,-0.005927057930948899,-0.0020248161048764136
2025-03-10 09:35:00,33.25,33.25,33.25,33.25,1,33250.0,,,,-0.010791333897621769,-0.0069223245358380385,-0.0038690093617837302
2025-03-10 10:01:00,33.25,33.25,33.25,33.25,1,33250.0,,,,-0.01283342435625201,-0.008126232171844461,-0.004707192184407549
2025-03-10 10:13:00,33.25,33.25,33.25,33.25,2,66500.0,,,,-0.014246694592266351,-0.00936822363932124,-0.004878470952945111
2025-03-10 10:24:00,33.25,33.25,33.25,33.25,3,99750.0,33.31,,,-0.015164050211573965,-0.010540909096590034,-0.004623141114983931
2025-03-10 11:37:00,33.2,33.2,33.2,33.2,2,66400.0,33.305,,,-0.018999040523375754,-0.012248283127843493,-0.006750757395532261
2025-03-10 11:38:00,33.15,33.15,33.15,33.15,2,66300.0,33.2975,,,-0.02509556439628824,-0.014836839556717964,-0.010258724839570275
2025-03-10 11:46:00,33.2,33.25,33.2,33.25,3,99700.0,33.29,,,-0.022732398208574978,-0.016425328068220797,-0.006307070140354181
2025-03-10 11:51:00,33.1,33.1,33.1,33.1,1,33100.0,33.272499999999994,,,-0.0309406994428727,-0.01934217677170411,-0.01159852267116859
2025-03-10 12:43:00,33.25,33.25,33.25,33.25,1,33250.0,33.2675,,,-0.026534121531071264,-0.02078602041062309,-0.005748101120448174
2025-03-10 12:44:00,33.2,33.2,33.2,33.2,2,66400.0,33.260000000000005,,,-0.02630369056868176,-0.021892899779856485,-0.004410790788825274
2025-03-10 12:51:00,33.2,33.2,33.2,33.2,1,33200.0,33.2525,,,-0.025816788951090075,-0.022679579689412067,-0.0031372092616780076
2025-03-10 13:16:00,33.15,33.15,33.15,33.15,1,33150.0,33.2425,,,-0.02871146438692307,-0.0238882946236223,-0.0048231697633007685
2025-03-10 13:21:00,33.2,33.2,33.2,33.2,2,66400.0,33.2375,,,-0.027031761733368853,-0.024517962409275746,-0.002513799324093107
