ts,open,high,low,close,volume,amount,ma20,ma60,ma240,macd,signal,hist
2025-03-07 09:26:00,16.55,16.55,16.55,16.55,1000,16550.0,,,,0.0,0.0,0.0
2025-03-07 09:39:00,16.8,16.8,16.8,16.8,100,1680.0,,,,0.00560897435897445,0.0031160968660969165,0.0024928774928775336
2025-03-07 11:29:00,16.45,16.55,16.45,16.55,4200,69210.0,,,,-0.0006055383998990749,0.0015908365111805265,-0.0021963749110796016
2025-03-07 11:35:00,16.4,16.4,16.4,16.4,2000,32800.0,,,,-0.008832873288955767,-0.001940230494285697,-0.00689264279467007
2025-03-07 11:52:00,16.4,16.4,16.4,16.4,1000,16400.0,,,,-0.013117529789440141,-0.005265224335062245,-0.007852305454377897
2025-03-07 11:55:00,16.7,16.7,16.7,16.7,1000,16700.0,,,,-0.002618447808323765,-0.004547800738387967,0.0019293529300642024
2025-03-07 12:17:00,16.45,16.45,16.45,16.45,4,65.8,,,,-0.007165603683336741,-0.005210296827126805,-0.001955306856209936
2025-03-07 12:33:00,16.7,16.7,16.7,16.7,100,1670.0,,,,0.0017905542352423254,-0.0035278606658060954,0.00531841490104842
2025-03-07 12:47:00,16.7,16.7,16.7,16.7,50,835.0,,,,0.007965281138147873,-0.0008728878913222203,0.008838169029470093
2025-03-07 13:13:00,16.7,16.7,16.7,16.7,4000,66800.0,,,,0.012229580936875095,0.002062825723465637,0.010166755213409458
2025-03-07 13:16:00,16.75,16.75,16.75,16.75,100,1675.0,,,,0.017803300388361976,0.005506751640078922,0.012296548748283054
2025-03-07 13:17:00,16.6,16.7,16.6,16.7,2000,33300.0,,,,0.018900913795572905,0.008383255941607623,0.010517657853965282
2025-03-07 13:24:00,16.45,16.45,16.45,16.45,1000,16450.0,,,,0.0053421627866399035,0.007739654973193096,-0.0023974921865531924
2025-03-07 13:29:00,16.75,16.75,16.75,16.75,1000,16750.0,,,,0.012510724782480054,0.008737766337066242,0.0037729584454138116
2025-03-07 13:57:00,16.75,16.75,16.75,16.75,50,837.5,,,,0.01775727252607595,0.010607451265063728,0.007149821261012223
2025-03-07 14:17:00,16.6,16.6,16.6,16.6,1000,16600.0,,,,0.012417680502142758,0.010979982947132975,0.0014376975550097829
2025-03-10 09:01:00,16.8,16.8,16.8,16.8,1000,16800.0,,,,0.02056830513951624,0.01294182412151926,0.007626481017996982
2025-03-10 09:23:00,16.6,16.6,16.6,16.6,1000,16600.0,,,,0.013947892470941525,0.013146729030083133,0.000801163440858392
2025-03-10 09:29:00,16.6,16.6,16.6,16.6,2000,33200.0,,,,0.008690391353667337,0.012242429160217711,-0.0035520378065503743
2025-03-10 09:30:00,16.6,16.8,16.5,16.8,5100,84580.0,16.6375,,,0.01757018821215084,0.0133204092346984,0.004249778977452439
2025-03-10 10:08:00,16.75,16.75,16.75,16.75,50,837.5,16.6475,,,0.020912410905214784,0.01485294471368404,0.006059466191530744
2025-03-10 10:09:00,16.5,16.5,16.5,16.5,10,165.0,16.6325,,,0.006481746043835557,0.013166259439076917,-0.00668451339524136
2025-03-10 10:22:00,16.5,16.5,16.5,16.5,5000,82500.0,16.630000000000003,,,-0.0047867590351309275,0.009554334703849995,-0.014341093738980923
2025-03-10 10:31:00,16.6,16.6,16.5,16.5,12000,199000.0,16.634999999999998,,,-0.013482258523360713,0.004925155377112074,-0.018407413900472788
2025-03-10 10:38:00,16.7,16.7,16.7,16.7,100,1670.0,16.65,,,-0.006184544524838742,0.002694789311961433,-0.008879333836800176
2025-03-10 10:47:00,16.7,16.7,16.7,16.7,10,167.0,16.65,,,-0.00043116559745470795,0.0020677030782304995,-0.0024988686756852074
2025-03-10 11:14:00,16.7,16.7,16.7,16.7,200,3340.0,16.6625,,,0.004056566314702081,0.0024664398117896723,0.001590126502912409
2025-03-10 11:27:00,16.7,16.7,16.7,16.7,2000,33400.0,16.6625,,,0.00750850519276014,0.0034768072227844833,0.004031697969975656
2025-03-10 11:28:00,16.6,16.6,16.6,16.6,1000,16600.0,16.6575,,,0.0029058458580166757,0.003362437971987391,-0.00045659211397071527
2025-03-10 11:38:00,16.65,16.65,16.65,16.65,200,3330.0,16.655,,,0.0029104993137565316,0.003271938207058668,-0.0003614388933021362
2025-03-10 11:40:00,16.65,16.65,16.55,16.55,1005,16633.25,16.645000000000003,,,-0.004433311772494619,0.0017293605161982314,-0.00616267228869285
2025-03-10 12:34:00,16.65,16.65,16.65,16.65,1100,18315.0,16.642500000000002,,,-0.002759042633307729,0.000830968106498667,-0.003590010739806396
2025-03-10 12:35:00,16.65,16.65,16.65,16.65,35,582.75,16.652499999999996,,,-0.0014185358900320466,0.00038078196782807437,-0.001799317857860121
2025-03-10 12:38:00,16.65,16.65,16.65,16.65,50,832.5,16.6475,,,-0.0003540970642710306,0.00023373159801242917,-0.0005878286622834597
2025-03-10 12:41:00,16.65,16.65,16.55,16.55,1800,29870.0,16.6375,,,-0.007002015477016954,-0.0012140050887630353,-0.005788010388253918
2025-03-10 12:42:00,16.8,16.8,16.8,16.8,100,1680.0,16.6475,,,0.006678540784779585,0.00036501650775018425,0.006313524277029401
2025-03-10 12:51:00,16.8,16.8,16.8,16.8,1000,16800.0,16.6475,,,0.017304968462763526,0.003753886699755449,0.013551081763008076
2025-03-10 12:59:00,16.8,16.8,16.7,16.7,8800,147340.0,16.652499999999996,,,0.017837318557166526,0.006571158195635172,0.011266160361531354
2025-03-10 13:17:00,16.8,16.8,16.8,16.8,100,1680.0,16.6625,,,0.02566156878208048,0.01038987480605255,0.01527169397602793
2025-03-10 13:30:00,16.8,16.8,16.8,16.8,1000,16800.0,16.6625,,,0.031491116513798545,0.014610684189401469,0.016880432324397076
2025-03-10 13:34:00,16.55,16.55,16.55,16.55,990,16384.5,16.6525,,,0.016533761333015207,0.014995340521801482,0.001538420811213725
2025-03-10 13:35:00,16.55,16.55,16.55,16.55,990,16384.5,16.655,,,0.004634540122214759,0.012923004147002471,-0.008288464024787712
2025-03-11 09:01:00,16.8,16.8,16.8,16.8,1000,16800.0,16.669999999999998,,,0.014535017757498991,0.013245428812187418,0.0012895889453115733
